time_min	res_o	res_d	job_o	job_d	ret_o	ret_d
0	7.09459E-06	1.14968E-05	1.08015E-05	3.08615E-06	1.17061E-05	1.95101E-06
30	4.25676E-06	4.9272E-06	4.62922E-06	3.08615E-06	7.80405E-06	1.95101E-06
60	1.41892E-06	1.6424E-06	1.54307E-06	1.54307E-06	1.95101E-06	1.95101E-06
90	1.41892E-06	1.6424E-06	1.54307E-06	1.54307E-06	1.95101E-06	3.90203E-06
120	1.41892E-06	1.6424E-06	1.54307E-06	1.54307E-06	1.95101E-06	3.90203E-06
150	9.93243E-07	1.14968E-06	1.08015E-06	1.08015E-06	1.95101E-06	3.90203E-06
180	7.09459E-07	8.21199E-07	7.71537E-07	7.71537E-07	3.90203E-06	3.90203E-06
210	2.83784E-06	3.2848E-06	1.54307E-06	3.08615E-06	3.90203E-06	3.90203E-06
240	7.09459E-06	3.2848E-06	1.54307E-06	7.71537E-06	3.90203E-06	1.95101E-05
270	1.06419E-05	3.2848E-06	2.31461E-06	1.15731E-05	3.90203E-06	1.95101E-05
300	1.41892E-05	4.9272E-06	3.08615E-06	1.54307E-05	3.90203E-06	1.95101E-05
330	2.69595E-05	4.9272E-06	4.62922E-06	2.93184E-05	1.95101E-05	3.90203E-05
360	4.54054E-05	6.56959E-06	7.71537E-06	4.93784E-05	1.95101E-05	5.85304E-05
390	7.80405E-05	6.56959E-06	1.15731E-05	8.48691E-05	1.95101E-05	5.85304E-05
420	0.000113514	9.85439E-06	1.54307E-05	0.000123446	3.90203E-05	7.80405E-05
450	0.000156081	1.6424E-05	2.31461E-05	0.000169738	5.85304E-05	0.000117061
480	0.000177365	3.2848E-05	2.31461E-05	0.000192884	5.85304E-05	0.000156081
510	0.000156081	3.2848E-05	2.31461E-05	0.000169738	7.80405E-05	0.000195101
540	0.000134797	1.6424E-05	2.31461E-05	0.000146592	0.000117061	0.000195101
570	8.51351E-05	3.2848E-05	2.31461E-05	7.71537E-05	0.000156081	0.000195101
600	7.09459E-05	4.9272E-05	3.08615E-05	4.62922E-05	0.000195101	0.000195101
630	7.09459E-05	6.56959E-05	3.85769E-05	2.31461E-05	0.000195101	0.000195101
660	7.09459E-05	8.21199E-05	3.85769E-05	2.31461E-05	0.000195101	0.000195101
690	7.09459E-05	8.21199E-05	6.1723E-05	3.85769E-05	0.000195101	0.000195101
720	7.09459E-05	8.21199E-05	7.71537E-05	3.85769E-05	0.000195101	0.000195101
750	7.09459E-05	8.21199E-05	5.40076E-05	0.000061723	0.000195101	0.000195101
780	7.09459E-05	8.21199E-05	3.08615E-05	7.71537E-05	0.000195101	0.000195101
810	7.09459E-05	7.39079E-05	3.08615E-05	5.40076E-05	0.000195101	0.000195101
840	7.09459E-05	8.21199E-05	4.62922E-05	3.08615E-05	0.000195101	0.000195101
870	7.80405E-05	9.85439E-05	4.62922E-05	3.08615E-05	0.000195101	0.000195101
900	9.93243E-05	0.000147816	6.1723E-05	2.31461E-05	0.000195101	0.000195101
930	9.93243E-05	0.000147816	7.71537E-05	1.54307E-05	0.000195101	0.000195101
960	9.22297E-05	0.000147816	8.48691E-05	1.54307E-05	0.000195101	0.000195101
990	9.22297E-05	0.000139604	0.0001003	1.54307E-05	0.000195101	0.000195101
1020	9.22297E-05	0.00015767	0.000138877	1.54307E-05	0.000195101	0.000195101
1050	8.51351E-05	0.00016424	0.000154307	1.54307E-05	0.000195101	0.000195101
1080	7.09459E-05	0.000147816	0.000131161	1.54307E-05	0.000195101	0.000195101
1110	5.67568E-05	0.000114968	0.000115731	7.71537E-06	0.000195101	0.000156081
1140	4.96622E-05	9.85439E-05	7.71537E-05	7.71537E-06	0.000195101	0.000156081
1170	4.25676E-05	6.56959E-05	5.40076E-05	7.71537E-06	0.000195101	0.000117061
1200	3.5473E-05	5.7484E-05	3.08615E-05	7.71537E-06	0.000156081	9.75507E-05
1230	2.12838E-05	5.7484E-05	2.31461E-05	7.71537E-06	0.000156081	7.80405E-05
1260	1.06419E-05	4.106E-05	2.31461E-05	7.71537E-06	0.000117061	7.80405E-05
1290	7.09459E-06	4.59872E-05	1.54307E-05	7.71537E-06	9.75507E-05	5.85304E-05
1320	7.09459E-06	4.106E-05	1.54307E-05	4.62922E-06	7.80405E-05	3.90203E-05
1350	7.09459E-06	3.2848E-05	1.54307E-05	4.62922E-06	7.80405E-05	1.80634E-12
1380	7.09459E-06	2.29936E-05	1.54307E-05	4.62922E-06	5.85304E-05	7.80405E-06
1410	7.09459E-06	1.6424E-05	1.54307E-05	4.62922E-06	3.90203E-05	1.95101E-06
